"","census_2018","gpt4_beta_sim","human_beta_sim","gpt4_beta_quint_sim","human_beta_quint_sim","gpt4_beta_admin","human_beta_admin","gpt4_beta_quint_admin","human_beta_quint_admin"
"46","0710",0.409090909090909,0.5,3,4,0.409090909090909,0.5,3,4
"47","0725",0.476190476190476,0.380952380952381,3,3,0.476190476190476,0.380952380952381,4,4
"48","0726",0.5,0.482142857142857,3,4,0.5,0.482142857142857,4,4
"49","0735",1.05555555555556,1.09081196581197,5,5,0.527777777777778,0.545405982905983,5,5
"50","0750",2.34736938253562,2.165144318597,5,5,0.586842345633906,0.541286079649251,5,5
"51","0800",0.55,0.516666666666667,4,4,0.55,0.516666666666667,5,5
"52","0810",1.07142857142857,1.03809523809524,5,5,0.535714285714286,0.519047619047619,5,5
"53","0820",0.5,0.615384615384615,3,4,0.5,0.615384615384615,4,5
"54","0830",0.545454545454545,0.5,4,4,0.545454545454545,0.5,5,4
"55","0845",NA,NA,NA,NA,0.461538461538462,0.5,4,5
"56","0850",0.5,0.69047619047619,3,5,0.5,0.69047619047619,4,5
"57","0860",0.571428571428571,0.5,4,4,0.571428571428571,0.5,5,5
"58","0900",0.5,0.558823529411765,3,4,0.5,0.558823529411765,4,5
"59","0910",1.19202898550725,1.32391304347826,5,5,0.596014492753623,0.66195652173913,5,5
"60","0930",0.56,0.62,4,4,0.56,0.62,5,5
"61","0940",0.625,0.625,4,4,0.625,0.625,5,5
"62","0960",8.73340087448783,9.21454975970321,5,5,0.545837554655489,0.575909359981451,5,5
"63","1005",0.6,0.5,4,4,0.6,0.5,5,5
"64","1006",1.22058823529412,1.09491978609626,5,5,0.610294117647059,0.547459893048128,5,5
"65","1007",0.625,0.541666666666667,4,4,0.625,0.541666666666667,5,5
"66","1010",0.941176470588235,0.705882352941176,5,5,0.941176470588235,0.705882352941176,5,5
"67","1021",NA,NA,NA,NA,0.868421052631579,0.447368421052632,5,4
"68","1022",0.866666666666667,0.6,5,4,0.866666666666667,0.6,5,5
"69","1031",0.931034482758621,0.637931034482759,5,4,0.931034482758621,0.637931034482759,5,5
"70","1032",1.5,1.26666666666667,5,5,0.75,0.633333333333333,5,5
"71","1050",1.22836538461538,1.19471153846154,5,5,0.614182692307692,0.597355769230769,5,5
"72","1065",4.73094017094017,3.48261460761461,5,5,0.788490028490028,0.580435767935768,5,5
"73","1105",0.7,0.525,4,4,0.7,0.525,5,5
"74","1106",1.28205128205128,1.07983682983683,5,5,0.641025641025641,0.539918414918415,5,5
"75","1108",6.61451675804573,5.3679202701934,5,5,0.734946306449525,0.596435585577044,5,5
"76","1200",0.5,0.533333333333333,3,4,0.5,0.533333333333333,4,5
"77","1210",1,0.681818181818182,5,5,1,0.681818181818182,5,5
"78","1220",0.625,0.625,4,4,0.625,0.625,5,5
"79","1230",1.44947368421053,1.45052631578947,5,5,0.724736842105263,0.725263157894737,5,5
"80","1240",6.54163423264042,5.67567064385563,5,5,0.726848248071158,0.630630071539514,5,5
"81","1305",0.5,0.4375,3,3,0.5,0.4375,4,4
"82","1306",0.421052631578947,0.368421052631579,3,3,0.421052631578947,0.368421052631579,4,4
"83","1310",1.56696428571429,1.36458333333333,5,5,0.522321428571429,0.454861111111111,4,4
"84","1320",0.555555555555556,0.527777777777778,4,4,0.555555555555556,0.527777777777778,5,5
"85","1330",0.428571428571429,0.321428571428571,3,3,0.428571428571429,0.321428571428571,4,3
"86","1340",0.6,0.55,4,4,0.6,0.55,5,5
"87","1350",0.461538461538462,0.346153846153846,3,3,0.461538461538462,0.346153846153846,4,3
"88","1360",1.44117647058824,1.34389140271493,5,5,0.480392156862745,0.447963800904977,4,4
"89","1400",0.694444444444444,0.305555555555556,4,3,0.694444444444444,0.305555555555556,5,3
"90","1410",1.75974025974026,1.31493506493506,5,5,0.586580086580087,0.438311688311688,5,4
"91","1420",0.553571428571428,0.5,4,4,0.553571428571428,0.5,5,5
"92","1430",3.21084887334887,3.17480898730899,5,5,0.535141478891479,0.529134831218165,5,5
"93","1440",0.416666666666667,0.416666666666667,3,3,0.416666666666667,0.416666666666667,4,4
"94","1450",0.476190476190476,0.30952380952381,3,3,0.476190476190476,0.30952380952381,4,3
"95","1460",1.5871978021978,1.53285714285714,5,5,0.529065934065934,0.510952380952381,5,5
"96","1500",0.472222222222222,0.444444444444444,3,3,0.472222222222222,0.444444444444444,4,4
"97","1510",0.55,0.475,4,4,0.55,0.475,5,4
"98","1520",0.5,0.391304347826087,3,3,0.5,0.391304347826087,4,4
"99","1530",4.18859007110234,3.49428372352285,5,5,0.523573758887793,0.436785465440357,4,4
"100","1541",0.535714285714286,0.517857142857143,4,4,0.535714285714286,0.517857142857143,5,5
"101","1545",1.61904761904762,1.45119047619048,5,5,0.53968253968254,0.483730158730159,5,4
"102","1551",0.416666666666667,0.333333333333333,3,3,0.416666666666667,0.333333333333333,4,3
"103","1555",4.96805883917016,3.95830052922257,5,5,0.382158372243858,0.304484656094044,3,3
"104","1560",0.5,0.5,3,4,0.5,0.5,4,5
"105","1600",1.32763532763533,1.90740740740741,5,5,0.442545109211776,0.635802469135802,4,5
"106","1610",3.46904761904762,3.03484848484848,5,5,0.495578231292517,0.433549783549784,4,4
"107","1640",1.66627450980392,1.79398692810458,5,5,0.41656862745098,0.448496732026144,4,4
"108","1650",0.933333333333333,1.1047619047619,5,5,0.466666666666667,0.552380952380952,4,5
"109","1700",1.14117647058824,1.04509803921569,5,5,0.570588235294118,0.522549019607843,5,5
"110","1710",0.537037037037037,0.574074074074074,4,4,0.537037037037037,0.574074074074074,5,5
"111","1720",0.853365384615385,0.923076923076923,5,5,0.426682692307692,0.461538461538462,4,4
"112","1745",2.08376920562275,2.83997295610568,5,5,0.520942301405688,0.70999323902642,4,5
"113","1750",3.05251920562275,3.85997295610568,5,5,0.508753200937125,0.643328826017613,4,5
"114","1760",0.458333333333333,0.458333333333333,3,3,0.458333333333333,0.458333333333333,4,4
"115","1800",1.1,1.19807692307692,5,5,0.55,0.599038461538462,5,5
"116","1815",0.625,0.84375,4,5,0.625,0.84375,5,5
"117","1821",0.383333333333333,0.533333333333333,3,4,0.383333333333333,0.533333333333333,3,5
"118","1822",0.394736842105263,0.578947368421053,3,4,0.394736842105263,0.578947368421053,3,5
"119","1825",2.16680033416875,2.25577276524645,5,5,0.433360066833751,0.45115455304929,4,4
"120","1830",0.538461538461539,0.615384615384615,4,4,0.538461538461539,0.615384615384615,5,5
"121","1840",0.48,0.58,3,4,0.48,0.58,4,5
"122","1860",2.47272727272727,2.62218614718615,5,5,0.494545454545455,0.524437229437229,4,5
"123","1900",1.13221153846154,0.915865384615385,5,5,0.377403846153846,0.305288461538462,3,3
"124","1910",0.388888888888889,0.25,3,2,0.388888888888889,0.25,3,3
"125","1920",0.375,0.375,3,3,0.375,0.375,3,4
"126","1935",1.32564102564103,1.27099358974359,5,5,0.441880341880342,0.42366452991453,4,4
"127","1940",0.403508771929825,0.577694235588972,3,4,0.201754385964912,0.288847117794486,2,3
"128","1950",0.630434782608696,0.565217391304348,4,4,0.630434782608696,0.565217391304348,5,5
"129","1970",6.12423312607809,5.47966237614407,5,5,0.408282208405206,0.365310825076271,3,4
"130","1980",0.737179487179487,0.760989010989011,4,5,0.368589743589744,0.380494505494505,3,4
"131","2001",0.195652173913043,0.282608695652174,2,3,0.195652173913043,0.282608695652174,2,3
"132","2002",0.308823529411765,0.367647058823529,2,3,0.308823529411765,0.367647058823529,3,4
"133","2003",0.125,0.28125,1,3,0.125,0.28125,2,3
"134","2004",0.259259259259259,0.259259259259259,2,2,0.259259259259259,0.259259259259259,3,3
"135","2005",0.352941176470588,0.441176470588235,3,3,0.352941176470588,0.441176470588235,3,4
"136","2011",0.239130434782609,0.282608695652174,2,3,0.239130434782609,0.282608695652174,2,3
"137","2012",0.352941176470588,0.411764705882353,3,3,0.352941176470588,0.411764705882353,3,4
"138","2013",0.269230769230769,0.346153846153846,2,3,0.269230769230769,0.346153846153846,3,3
"139","2015",0.404761904761905,0.452380952380952,3,3,0.404761904761905,0.452380952380952,3,4
"140","2016",0.35,0.375,3,3,0.35,0.375,3,4
"141","2025",1.59635673234811,1.67220853858785,5,5,0.399089183087028,0.418052134646962,3,4
"142","2040",0.333333333333333,0.238095238095238,3,2,0.333333333333333,0.238095238095238,3,3
"143","2050",0.421052631578947,0.447368421052632,3,3,0.421052631578947,0.447368421052632,4,4
"144","2100",0.431818181818182,0.477272727272727,3,4,0.431818181818182,0.477272727272727,4,4
"145","2105",0.5,0.421052631578947,3,3,0.5,0.421052631578947,4,4
"146","2110",1.4047619047619,0.970238095238095,5,5,0.468253968253968,0.323412698412698,4,3
"147","2145",0.5,0.458333333333333,4,3,0.5,0.458333333333333,4,4
"148","2170",0.558823529411765,0.529411764705882,4,4,0.558823529411765,0.529411764705882,5,5
"149","2205",16.8598706018009,16.7333092554344,5,5,0.481710588622882,0.47809455015527,4,4
"150","2300",0.450317965023847,0.606120826709062,3,4,0.225158982511924,0.303060413354531,2,3
"151","2310",0.982355081251516,0.984198399223866,5,5,0.327451693750505,0.328066133074622,3,3
"152","2320",0.661458333333333,0.677083333333333,4,4,0.330729166666667,0.338541666666667,3,3
"153","2330",1.83611111111111,1.84305555555556,5,5,0.306018518518519,0.307175925925926,3,3
"154","2350",0.526315789473684,0.368421052631579,4,3,0.526315789473684,0.368421052631579,4,4
"155","2360",1.66434997750787,1.29662618083671,5,5,0.416087494376968,0.324156545209177,4,3
"156","2400",1.25,1.3025641025641,5,5,0.416666666666667,0.434188034188034,4,4
"157","2435",0.533333333333333,0.5,4,4,0.533333333333333,0.5,5,5
"158","2440",0.571428571428571,0.514285714285714,4,4,0.571428571428571,0.514285714285714,5,5
"159","2545",1.13333333333333,0.933333333333333,5,5,0.377777777777778,0.311111111111111,3,3
"160","2555",2.03333333333333,2,5,5,0.406666666666667,0.4,3,4
"161","2600",1.70863095238095,1.44761904761905,5,5,0.427157738095238,0.361904761904762,4,4
"162","2631",0.470588235294118,0.441176470588235,3,3,0.470588235294118,0.441176470588235,4,4
"163","2632",0.4,0.375,3,3,0.4,0.375,3,4
"164","2633",0.1875,0.28125,2,3,0.1875,0.28125,2,3
"165","2634",0.5,0.375,4,3,0.5,0.375,4,4
"166","2635",0.5,0.366666666666667,4,3,0.5,0.366666666666667,4,4
"167","2636",0.28,0.28,2,3,0.28,0.28,3,3
"168","2640",2.70845860566449,2.45242647058824,5,5,0.38692265795207,0.350346638655462,3,3
"169","2700",0.184210526315789,0.184210526315789,2,2,0.184210526315789,0.184210526315789,2,2
"170","2710",1.85652173913043,1.71521739130435,5,5,0.464130434782609,0.428804347826087,4,4
"171","2721",0,0,1,1,0,0,1,1
"172","2722",0.321428571428571,0.160714285714286,2,2,0.321428571428571,0.160714285714286,3,2
"173","2723",0.34375,0.1875,3,2,0.34375,0.1875,3,2
"174","2740",0.313492063492063,0.23015873015873,2,2,0.156746031746032,0.115079365079365,2,2
"175","2751",0.7,0.283333333333333,4,3,0.7,0.283333333333333,5,3
"176","2752",0.433333333333333,0.133333333333333,3,2,0.433333333333333,0.133333333333333,4,2
"177","2755",NA,NA,NA,NA,0.526315789473684,0.368421052631579,4,4
"178","2805",0.666666666666667,0.5,4,4,0.666666666666667,0.5,5,5
"179","2810",0.65,0.633333333333333,4,4,0.65,0.633333333333333,5,5
"180","2825",0.583333333333333,0.805555555555555,4,5,0.583333333333333,0.805555555555555,5,5
"181","2830",0.642857142857143,0.642857142857143,4,4,0.642857142857143,0.642857142857143,5,5
"182","2840",0.7,0.633333333333333,4,4,0.7,0.633333333333333,5,5
"183","2850",1.75,1.575,5,5,0.875,0.7875,5,5
"184","2861",0.882352941176471,0.823529411764706,5,5,0.882352941176471,0.823529411764706,5,5
"185","2862",0.964285714285714,0.535714285714286,5,4,0.964285714285714,0.535714285714286,5,5
"186","2905",1.56758004926108,0.982912561576355,5,5,0.391895012315271,0.245728140394089,3,3
"187","2910",0.396551724137931,0.224137931034483,3,2,0.396551724137931,0.224137931034483,3,3
"188","2920",0.9375,0.686594202898551,5,5,0.46875,0.343297101449275,4,3
"189","3000",0.454545454545455,0.318181818181818,3,3,0.454545454545455,0.318181818181818,4,3
"190","3010",0.631168831168831,0.587337662337662,4,4,0.157792207792208,0.146834415584416,2,2
"191","3030",0.517857142857143,0.482142857142857,4,4,0.517857142857143,0.482142857142857,4,4
"192","3040",0.3,0.05,2,1,0.3,0.05,3,1
"193","3050",0.428571428571429,0.380952380952381,3,3,0.428571428571429,0.380952380952381,4,4
"194","3065",NA,NA,NA,NA,0.441176470588235,0.352941176470588,4,3
"195","3070",0.483333333333333,0.483333333333333,3,4,0.483333333333333,0.483333333333333,4,4
"196","3090",9.93902596801204,8.04766077146108,5,5,0.397561038720481,0.321906430858443,3,3
"197","3100",1.11111111111111,0.788888888888889,5,5,0.37037037037037,0.262962962962963,3,3
"198","3110",0.53125,0.21875,4,2,0.265625,0.109375,3,2
"199","3120",0.272727272727273,0.272727272727273,2,3,0.272727272727273,0.272727272727273,3,3
"200","3140",0.454545454545455,0.454545454545455,3,3,0.454545454545455,0.454545454545455,4,4
"201","3150",0.579831932773109,0.668067226890756,4,4,0.289915966386555,0.334033613445378,3,3
"202","3160",0.1875,0.333333333333333,2,3,0.1875,0.333333333333333,2,3
"203","3200",0.272727272727273,0.181818181818182,2,2,0.272727272727273,0.181818181818182,3,2
"204","3210",0.318181818181818,0.363636363636364,2,3,0.318181818181818,0.363636363636364,3,4
"205","3220",0.204545454545455,0.181818181818182,2,2,0.204545454545455,0.181818181818182,2,2
"206","3230",0.458333333333333,0.395833333333333,3,3,0.458333333333333,0.395833333333333,4,4
"207","3235",0.26,0.34,2,3,0.26,0.34,3,3
"208","3245",0.733333333333333,0.8,4,5,0.366666666666667,0.4,3,4
"209","3250",0.282608695652174,0.217391304347826,2,2,0.282608695652174,0.217391304347826,3,3
"210","3255",1.90130906768838,1.6433588761175,5,5,0.380261813537676,0.328671775223499,3,3
"211","3256",0.166666666666667,0.125,2,2,0.166666666666667,0.125,2,2
"212","3257",0.380952380952381,0.285714285714286,3,3,0.380952380952381,0.285714285714286,3,3
"213","3258",0.481481481481481,0.314814814814815,3,3,0.481481481481481,0.314814814814815,4,3
"214","3261",0.166666666666667,0.305555555555556,2,3,0.166666666666667,0.305555555555556,2,3
"215","3270",0.98125,0.625,5,4,0.490625,0.3125,4,3
"216","3300",1.69807692307692,0.901762820512821,5,5,0.283012820512821,0.150293803418803,3,2
"217","3310",0.166666666666667,0.0833333333333333,2,1,0.166666666666667,0.0833333333333333,2,2
"218","3321",0.4,0.18,3,2,0.4,0.18,3,2
"219","3322",0.3,0.3,2,3,0.3,0.3,3,3
"220","3323",0.383333333333333,0.283333333333333,3,3,0.383333333333333,0.283333333333333,3,3
"221","3324",0.326086956521739,0.217391304347826,3,2,0.326086956521739,0.217391304347826,3,3
"222","3330",2.1535379369139,1.5454305200341,5,5,0.358922989485649,0.257571753339017,3,3
"223","3401",NA,NA,NA,NA,0.208333333333333,0.208333333333333,2,3
"224","3402",NA,NA,NA,NA,0.153846153846154,0.192307692307692,2,2
"225","3421",0.404761904761905,0.404761904761905,3,3,0.404761904761905,0.404761904761905,3,4
"226","3422",0.125,0.34375,1,3,0.125,0.34375,2,3
"227","3423",0.09375,0.03125,1,1,0.09375,0.03125,1,1
"228","3424",0.161290322580645,0.145161290322581,2,2,0.161290322580645,0.145161290322581,2,2
"229","3430",1.64826376580409,1.47300011816141,5,5,0.274710627634015,0.245500019693568,3,3
"230","3500",0.239130434782609,0.217391304347826,2,2,0.239130434782609,0.217391304347826,2,3
"231","3515",NA,NA,NA,NA,0.617647058823529,0.558823529411765,5,5
"232","3520",0.285714285714286,0.238095238095238,2,2,0.285714285714286,0.238095238095238,3,3
"233","3545",1.74199046920821,1.03593221294834,5,5,0.348398093841642,0.207186442589668,3,3
"234","3550",1.88520100069013,1.85373646979768,5,5,0.377040200138026,0.370747293959536,3,4
"235","3601",0.0666666666666667,0.0333333333333333,1,1,0.0666666666666667,0.0333333333333333,1,1
"236","3602",0.227272727272727,0.272727272727273,2,3,0.227272727272727,0.272727272727273,2,3
"237","3603",0.106060606060606,0.121212121212121,1,2,0.106060606060606,0.121212121212121,2,2
"238","3605",0.2825311942959,0.3099376114082,2,3,0.0941770647653001,0.103312537136067,1,2
"239","3610",0.506060606060606,0.293939393939394,4,3,0.253030303030303,0.146969696969697,3,2
"240","3620",0.300751879699248,0.226817042606516,2,2,0.150375939849624,0.113408521303258,2,2
"241","3630",0.0714285714285714,0.178571428571429,1,2,0.0714285714285714,0.178571428571429,1,2
"242","3640",0.25,0.09375,2,1,0.25,0.09375,2,2
"243","3645",0.375,0.15,3,2,0.375,0.15,3,2
"244","3646",0.866666666666667,0.233333333333333,5,2,0.866666666666667,0.233333333333333,5,3
"245","3647",0.441176470588235,0.205882352941176,3,2,0.441176470588235,0.205882352941176,4,3
"246","3648",0.214285714285714,0.142857142857143,2,2,0.214285714285714,0.142857142857143,2,2
"247","3649",0.166666666666667,0.104166666666667,2,1,0.166666666666667,0.104166666666667,2,2
"248","3655",3.07800006366183,1.1430576776165,5,5,0.342000007073537,0.127006408624056,3,2
"249","3700",0.282608695652174,0.282608695652174,2,3,0.282608695652174,0.282608695652174,3,3
"250","3710",0.325,0.35,2,3,0.325,0.35,3,3
"251","3720",0.433333333333333,0.416666666666667,3,3,0.433333333333333,0.416666666666667,4,4
"252","3725",NA,NA,NA,NA,0.404761904761905,0.261904761904762,3,3
"253","3740",0.133333333333333,0.0833333333333333,2,1,0.133333333333333,0.0833333333333333,2,2
"254","3750",0.502083333333333,0.741666666666667,4,5,0.251041666666667,0.370833333333333,3,4
"255","3801",0.0666666666666667,0.166666666666667,1,2,0.0666666666666667,0.166666666666667,1,2
"256","3802",0.25,0.230769230769231,2,2,0.25,0.230769230769231,2,3
"257","3820",1.175,1.03333333333333,5,5,0.391666666666667,0.344444444444444,3,3
"258","3830",0.270833333333333,0.166666666666667,2,2,0.270833333333333,0.166666666666667,3,2
"259","3840",0.304347826086957,0.282608695652174,2,3,0.304347826086957,0.282608695652174,3,3
"260","3870",0.954545454545455,0.97034632034632,5,5,0.318181818181818,0.323448773448773,3,3
"261","3900",0.34375,0.125,3,2,0.34375,0.125,3,2
"262","3910",0.352941176470588,0.352941176470588,3,3,0.352941176470588,0.352941176470588,3,4
"263","3930",0.580357142857143,0.526785714285714,4,4,0.290178571428571,0.263392857142857,3,3
"264","3940",0.125,0.25,1,2,0.125,0.25,2,3
"265","3945",0.269230769230769,0.230769230769231,2,2,0.269230769230769,0.230769230769231,3,3
"266","3946",NA,NA,NA,NA,0.166666666666667,0.194444444444444,2,3
"267","3960",1.00851648351648,1.14188034188034,5,5,0.201703296703297,0.228376068376068,2,3
"268","4000",0.261904761904762,0.261904761904762,2,2,0.261904761904762,0.261904761904762,3,3
"269","4010",0.5,0.269230769230769,4,3,0.5,0.269230769230769,4,3
"270","4020",0.532239819004525,0.563193617527983,4,4,0.106447963800905,0.112638723505597,2,2
"271","4030",0.0483870967741935,0.0483870967741935,1,1,0.0483870967741935,0.0483870967741935,1,1
"272","4040",0.2,0.15,2,2,0.2,0.15,2,2
"273","4055",0.220864661654135,0.24718045112782,2,2,0.110432330827068,0.12359022556391,2,2
"274","4110",0.18,0.22,2,2,0.18,0.22,2,3
"275","4120",0.142857142857143,0.107142857142857,2,2,0.142857142857143,0.107142857142857,2,2
"276","4130",0,0,1,1,0,0,1,1
"277","4140",0,0,1,1,0,0,1,1
"278","4150",0.25,0.363636363636364,2,3,0.25,0.363636363636364,2,4
"279","4200",0.269230769230769,0.25,2,2,0.269230769230769,0.25,3,3
"280","4210",0.357142857142857,0.25,3,2,0.357142857142857,0.25,3,3
"281","4220",0,0.101739130434783,1,1,0,0.0508695652173913,1,1
"282","4230",0,0.08,1,1,0,0.08,1,2
"283","4240",0.2,0.2,2,2,0.2,0.2,2,3
"284","4251",0.037037037037037,0.037037037037037,1,1,0.037037037037037,0.037037037037037,1,1
"285","4252",0.0576923076923077,0.0576923076923077,1,1,0.0576923076923077,0.0576923076923077,1,1
"286","4255",0.144729344729345,0.194729344729345,2,2,0.0482431149097816,0.0649097815764482,1,1
"287","4330",1.25959752321981,1.0577915376677,5,5,0.419865841073271,0.352597179222566,4,3
"288","4340",0.0789473684210526,0.105263157894737,1,1,0.0789473684210526,0.105263157894737,1,2
"289","4350",0.227272727272727,0.159090909090909,2,2,0.227272727272727,0.159090909090909,2,2
"290","4400",0.392857142857143,0.347402597402597,3,3,0.196428571428571,0.173701298701299,2,2
"291","4420",0.152173913043478,0.239130434782609,2,2,0.152173913043478,0.239130434782609,2,3
"292","4435",1.21536053572667,1.31522482094564,5,5,0.173622933675238,0.187889260135092,2,2
"293","4461",0.469988344988345,0.523601398601399,3,4,0.117497086247086,0.13090034965035,2,2
"294","4465",0.159090909090909,0.0909090909090909,2,1,0.159090909090909,0.0909090909090909,2,2
"295","4500",0.175,0.075,2,1,0.175,0.075,2,1
"296","4510",0.0652173913043478,0.0434782608695652,1,1,0.0652173913043478,0.0434782608695652,1,1
"297","4521",0.0833333333333333,0.0555555555555556,1,1,0.0833333333333333,0.0555555555555556,1,1
"298","4522",0.194444444444444,0.111111111111111,2,2,0.194444444444444,0.111111111111111,2,2
"299","4525",0.861111111111111,0.529761904761905,5,4,0.215277777777778,0.132440476190476,2,2
"300","4530",0.643382352941176,0.979779411764706,4,5,0.321691176470588,0.489889705882353,3,4
"301","4540",0.589783281733746,0.671826625386997,4,4,0.294891640866873,0.335913312693498,3,3
"302","4600",0.291578947368421,0.662105263157895,2,4,0.145789473684211,0.331052631578947,2,3
"303","4621",0.0227272727272727,0.227272727272727,1,2,0.0227272727272727,0.227272727272727,1,3
"304","4622",0.25,0.25,2,2,0.25,0.25,2,3
"305","4640",0.233333333333333,0.266666666666667,2,3,0.233333333333333,0.266666666666667,2,3
"306","4700",0.5,0.428571428571429,4,3,0.5,0.428571428571429,4,4
"307","4710",0.527777777777778,0.444444444444444,4,3,0.527777777777778,0.444444444444444,5,4
"308","4720",0.474712643678161,0.644827586206897,3,4,0.23735632183908,0.322413793103448,2,3
"309","4740",0.53125,0.6875,4,5,0.53125,0.6875,5,5
"310","4750",0.315789473684211,0.315789473684211,2,3,0.315789473684211,0.315789473684211,3,3
"311","4760",0.375,0.395833333333333,3,3,0.375,0.395833333333333,3,4
"312","4800",0.55,0.7,4,5,0.55,0.7,5,5
"313","4810",0.578947368421053,0.526315789473684,4,4,0.578947368421053,0.526315789473684,5,5
"314","4820",0.6,0.483333333333333,4,4,0.6,0.483333333333333,5,4
"315","4830",0.5625,0.5625,4,4,0.5625,0.5625,5,5
"316","4840",NA,NA,NA,NA,0.633333333333333,0.566666666666667,5,5
"317","4850",1.59457939721098,1.79037336932074,5,5,0.531526465736992,0.596791123106913,5,5
"318","4900",0.416666666666667,0.788690476190476,3,5,0.208333333333333,0.394345238095238,2,4
"319","4920",0.939393939393939,0.830143540669856,5,5,0.46969696969697,0.415071770334928,4,4
"320","4930",0.52,0.54,4,4,0.52,0.54,4,5
"321","4940",0.791666666666667,0.541666666666667,4,4,0.791666666666667,0.541666666666667,5,5
"322","4950",0.25,0.5,2,4,0.25,0.5,2,5
"323","5000",0.482758620689655,0.517241379310345,3,4,0.482758620689655,0.517241379310345,4,5
"324","5010",0.631578947368421,0.5,4,4,0.631578947368421,0.5,5,5
"325","5020",0.90625,0.625,5,4,0.90625,0.625,5,5
"326","5100",0.7,0.433333333333333,4,3,0.7,0.433333333333333,5,4
"327","5110",0.783333333333333,0.433333333333333,4,3,0.783333333333333,0.433333333333333,5,4
"328","5120",0.783333333333333,0.316666666666667,4,3,0.783333333333333,0.316666666666667,5,3
"329","5130",0.441176470588235,0.411764705882353,3,3,0.441176470588235,0.411764705882353,4,4
